1.600000000000000000e+01,2.280402183532714977e-05,1.751399040222168045e-05
6.240000000000000000e+02,4.161381721496581955e-05,5.141210556030273562e-05
2.000000000000000000e+03,6.225585937500000108e-05,8.130097389221190842e-05
4.144000000000000000e+03,8.629393577575683203e-05,9.130501747131347960e-05
7.056000000000000000e+03,1.075601577758789030e-04,1.178588867187500030e-04
1.073600000000000000e+04,1.289680004119873142e-04,1.449580192565918082e-04
1.518400000000000000e+04,1.560301780700683566e-04,2.048060894012451185e-04
2.040000000000000000e+04,1.757450103759765727e-04,1.967520713806152478e-04
2.638400000000000000e+04,2.060890197753906196e-04,2.263691425323486358e-04
3.313600000000000000e+04,2.274580001831054735e-04,2.653179168701172040e-04
7.841600000000000000e+04,3.817260265350341905e-04,4.512910842895508025e-04
1.428960000000000000e+05,5.848600864410400703e-04,8.393068313598632795e-04
2.265760000000000000e+05,8.532679080963134245e-04,1.739547014236450268e-03
3.294560000000000000e+05,1.131367921829223725e-03,2.581127166748046695e-03
9.329760000000000000e+05,2.661290168762207083e-03,1.279244780540466329e-02
